vin,open_recalls,recall_status,name_of_recall,campaign,date_of_recall_announcement,brief_description_of_recall,safety_risk,remedy,customer_satisfaction_programs
1FTFW1EF5BFB76070,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FTYR10D28PA97111,Yes,Recall Incomplete,Driver Airbag Inflator Replacement,21S12/21V158,25/03/21,Driver Airbag Inflator Replacement,"The Driver Airbag Inflator In Your Vehicle May Explode In The Event Of A Crash That Causes Deployment Of The Driver Airbag. If An Airbag Inflator Explodes, Sharp Metal Fragments Could Strike The Driver Or Other Occupants Causing Serious Injury Or Death.","Ford Motor Company Is Working Closely With Its Suppliers To Produce Parts For This Repair. When Parts Become Available In Sufficient Quantities, Owners Will Be Notified By Mail And Instructed To Take Their Vehicle To A Ford Or Lincoln Dealer To Have The Driver Airbag Inflator Replaced. There Will Be No Charge For This Service.",[]
1FMZU73K15UA12090,No,,,,,,,,[]
1FADP3F23DL308751,No,,,,,,,,"[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FMSK7FH0LGC97142,Yes,Recall Incomplete,Cameras - Inoperative Rear  360 Degree Camera With A Blue Screen,23S02/23V022,27/01/23,"Previously, Your Vehicle May Have Had A Similar But Different Recall For A Rear Camera Blue Or Blank Screen. Following Completion Of That Recall Repair, It May Still Be Possible To Intermittently Experience A Rear Camera Blue Image On The Sync Screen When The Vehicle Is Placed In Reverse Or When The 360 Degree View Is Selected And Available During Low-Speed Operation. Once Displayed, The Rear Camera Blue Image Will Persist For The Remainder Of The Ignition On Cycle. Once Present, The Issue Is Likely To Reoccur On Subsequent Key Cycles.",The Loss Of The Rear Camera Image During A Reverse Action Increases The Risk Of A Crash.,Ford Motor Company Has Authorized Your Dealer To Reprogram The Software For The Rearview  360 Degree Camera Free Of Charge Parts And Labor.,"[{'description': 'REAR AXLE BOLT REPLACEMENT', 'campaign': '22N06', 'date': '2022-06-10'}]"
1FMSK7FH0LGC97142,Yes,Recall Incomplete,Explorer Rear Axle Bolt Fracture,22S27/22V255,14/04/22,On Your Vehicle The Rear Axle Mounting Bolt May Fracture During Vehicle Acceleration.,"A Fractured Rear Axle Bolt Will Allow The Rear Axle Housing To Move Out Of Position, Resulting In Severe Noise And Vibration. If The Rear Axle Bolt Breaks, The Driveshaft Or Half-Shafts May Become Disconnected, Resulting In Loss Of The Vehicles Forward Power And Loss Of Transmission Torque To The Rear Wheels. Loss Of The Vehicles Forward Power Increases The Risk Of Crash And Injury. Transmission Torque Is Necessary To Hold The Vehicle In Park. If The Parking Brake Is Not Applied, The Loss Of The Primary Park Torque Will Allow The Vehicle To Roll In Park Increasing The Risk Of Crash And Injury.",Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module Pcm Free Of Charge Parts And Labor. This Pcm Update Will Engage The Electronic Parking Brake Every Time The Vehicle Is Shifted Into Park P. An Engaged Parking Brake Will Not Allow The Vehicle To Roll.,"[{'description': 'REAR AXLE BOLT REPLACEMENT', 'campaign': '22N06', 'date': '2022-06-10'}]"
1FMSK7FH0LGC97142,Yes,Recall Incomplete,"2020-2021 Aviator, Explorer, Corsair-Rear/360 Camera Ipmb Blue Screen",21S44/21V735,23/09/21,"On Your Vehicle, The 360-Degree Camera Display, Which Includes The Rear-View Camera, May Intermittently Display A Blue Image On The Media Touchscreen Upon Shifting Into Reverse.","The Loss Of Rearview Camera Image During A Backing Event Can Reduce The Drivers View Of What Is Behind The Vehicle, Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Reprogram The Image Processing Module B Ipmb Free Of Charge Parts And Labor.,"[{'description': 'REAR AXLE BOLT REPLACEMENT', 'campaign': '22N06', 'date': '2022-06-10'}]"
1FM5K8D88JGA91408,No,,,,,,,,"[{'description': 'HIGH SPEED COOLING FAN MOTOR RELAY', 'campaign': '21N01', 'date': '2021-08-19'}]"
1fafp42x71f129008,No,,,,,,,,[]
1ZVBP8CU0C5253745,No,,,,,,,,[]
1FMCU0JX0EUC19792,Yes,Recall Incomplete,Transmission Shifter Cable Bushing,22S43/#22V413,10/06/22,"On Your Vehicle, It May Be Possible The Transmission Shifter Cable Bushing Is Damaged Or Missing.","A Damaged Or Missing Bushing Could Prevent The Shifter From Moving The Transmission Into The Intended Gear Position And Cause The Vehicle To Move In An Unexpected Direction.  The Transmission May Not Be In The Park Position, Even Though The Shifter Position Indicates That The Vehicle Was Shifted To Park. Exiting A Vehicle Without The Transmission In The Park Position And Without The Application Of The Parking Brake May Allow The Vehicle To Roll, Increasing The Risk Of Injury Or Crash.",Parts Are Now Available To Repair Your Vehicle. Ford Motor Company Has Authorized Your Dealer To Replace The Shifter Cable Bushing And Protective Cap Free Of Charge Parts And Labor.,[]
1FMCU0JX0EUC19792,Yes,Recall Incomplete,Door Latch Repeat Repair,20S30/20V331,08/06/20,"Your Vehicle Was Previously Repaired Under Safety Recall 15S16 Or 16S30. During That Repair, Your Vehicles Door Latches Were To Be Replaced To Help Reduce The Risk Of Doors Not Closing Or Doors Opening While Driving. It Is Possible That One Or More Of Your Door Latches Was Not Replaced Or May Not Have Been Replaced Correctly.","If A Door Latch Was Not Replaced, There Is Still A Risk That The Pawl Spring Tab Inside The Door Latch Could Break. This Condition Will Typically Prevent The Door From Latching. In Certain Situations, Where The Door Is Able To Be Closed, The Door May Unlatch While Driving, Increasing The Risk Of Injury","The Door Latch Date Codes In Your Vehicle Need To Be Inspected To Verify That The Previous Door Latch Recall Repair Was Completed As Intended. For Your Convenience And To Encourage The Continued Social Distancing Requirements By Many State And Local Governments Related To Covid-19, Ford Is Providing You With The Option To Complete This Simple Inspection Yourself Using The Attached Self-Inspection Sheet. By Utilizing This Option, You Should Not Need To Take Your Vehicle To Your Dealer Unless Your Vehicle Is Exhibiting Door Latching Concerns Door Will Not Latch Or Opens While Driving. In The Unlikely Event That The System Cannot Confirm The Latches On Your Vehicle Based On Your Input, Or If Your Vehicle Is Exhibiting Door Latching Concerns, You Will Need To Take Your Vehicle To Your Dealership For Additional Inspection And/Or Repairs. If You Do Not Wish To Complete This Inspection Yourself, Your Dealer Will Inspect Your Vehicle For You",[]
1FM5K8B81DGC08933,Yes,Recall Incomplete,Rear Toe Link Replacement,21S32/21v537,24/09/21,Vehicles Exposed To A Corrosive Environment Where Road Salt Is Used Extensively During Winter Months Could Experience A Seized Rear Suspension Toe Link Ball Joint Resulting In A Fractured Rear Suspension Toe Link.,"A Rear Toe Link Fracture May Cause A Loss Of Steering Control, Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace Both Rear Toe Links And Adjust Rear Toe Free Of Charge Parts And Labor.,"[{'description': 'DOOR LATCH', 'campaign': '19N09', 'date': '2019-12-12'}]"
1FM5K8B81DGC08933,Yes,Recall Incomplete,Rear Suspension Toe Link Replacement,19S17/19V435,10/06/19,"On Your Vehicle, Frequent Full Articulation Of The Rear Suspension May Increase The Stress On The Rear Suspension Toe Link, Which May, Over Time, Result In A Toe Link Fracture.","Rear Toe Link Fracture While Driving Could Result In A Noise, A Sudden Change In Vehicle Handling, Or Difficulty Controlling The Vehicle Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace Your Rear Suspension Toe Links Free Of Charge Parts And Labor.,"[{'description': 'DOOR LATCH', 'campaign': '19N09', 'date': '2019-12-12'}]"
1ftrx18w0ykb01914,Yes,Recall Incomplete,Fuel Tank Strap Inspection And Repair,11S21/11V385000,29/07/11,"Ford Is Recalling Certain 1997 Through 2003 Model Year Ford F-150, 2004 Model Year Ford F-150 Heritage, 1997 Through 1999 Model Year F-250 Less Than 8,500 Lbs. Gross Vehicle Weight Rating (Gvwr), And 2002 And 2003 Lincoln Blackwood Vehicles Manufactured From June 20, 1995, Through August 4, 2004, Originally Sold, Or Currently Registered In, Connecticut, Delaware, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, West Virginia, Wisconsin, And The District Of Columbia.  Prolonged Exposure To Road Deicing Chemicals May Cause Severe Corrosion Of The Fuel Tank Straps Which Secure The Tank To The Vehicle.","As A Result Of The Corrosion, One Or Both Straps May Fail Allowing The Fuel Lines To Separate From The Tank, Or In Some Cases, Causing The Tank To Contact The Ground.  Either Scenario May Result In A Fuel Leak Presenting A Fire Hazard.","Ford Will Notify Owners And Instruct Them To Take Their Vehicles To A Ford Or Lincoln Dealer To Have The Fuel Tank Straps Replaced With Straps That Have Increased Corrosion Protection.  Early In This Campaign, If Replacement Straps Are Not Available, Dealers May Install A Cable Support Under The Strap As An Interim Repair Or A Steel Reinforcement Over The Existing Strap As A Permanent Repair.  Any Repairs Will Be Performed Free Of Charge.   The Safety Recall Began On September 16, 2011.  Owners May Contact Ford Motor Company Customer Relationship Center At 1-866-436-7332.  Ford'S Recall Campaign Number Is 11S21",[]
1ZVBP8CH0A5160644,Yes,Recall Incomplete,Passenger Airbag Inflator Replacement Parts Are Readily Available,19S01/19V001,28/01/19,The Passenger Airbag Inflator In Your Vehicle May Explode In The Event Of A Crash That Causes Deployment Of The Passenger Airbag.,"If An Inflator Explodes, Sharp Metal Fragments Could Strike The Passenger Or Other Occupants, Causing Serious Injury Or Death.",Parts Are Now Available To Repair Your Vehicle. Dealers Will Replace The Passenger Airbag Inflator Free Of Charge.,[]
1ZVBP8CH0A5160644,Yes,Recall Incomplete,Driver Airbag Inflator Replacement Parts Are Readily Available,15S21/15V319,27/05/15,The Driver Airbag Inflator In Your Vehicle May Explode In The Event Of A Crash That Causes Deployment Of The Driver Airbag.,"If An Inflator Explodes, Sharp Metal Fragments Could Strike The Driver Or Other Occupants, Causing Serious Injury Or Death.",Parts Are Now Available To Repair Your Vehicle. Dealers Will Replace The Driver Airbag Inflator Free Of Charge..,[]
1zVBP8AN9A5143771,Yes,Recall Incomplete,Passenger Airbag Inflator Replacement Parts Are Readily Available,19S01/19V001,28/01/19,The Passenger Airbag Inflator In Your Vehicle May Explode In The Event Of A Crash That Causes Deployment Of The Passenger Airbag.,"If An Inflator Explodes, Sharp Metal Fragments Could Strike The Passenger Or Other Occupants, Causing Serious Injury Or Death.",Parts Are Now Available To Repair Your Vehicle. Dealers Will Replace The Passenger Airbag Inflator Free Of Charge.,[]
1zVBP8AN9A5143771,Yes,Recall Incomplete,Driver Airbag Inflator Replacement Parts Are Readily Available,15S21/15V319,27/05/15,The Driver Airbag Inflator In Your Vehicle May Explode In The Event Of A Crash That Causes Deployment Of The Driver Airbag.,"If An Inflator Explodes, Sharp Metal Fragments Could Strike The Driver Or Other Occupants, Causing Serious Injury Or Death.",Parts Are Now Available To Repair Your Vehicle. Dealers Will Replace The Driver Airbag Inflator Free Of Charge..,[]
1FMDU32X1TZA95133,No,,,,,,,,[]
1FTFW1ET6BFB83826,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'ELECTRIC VACUUM PUMP EXTENDED REPAIR', 'campaign': '15N05', 'date': '2016-02-09'}, {'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FTRW08663KC83754,No,,,,,,,,[]
1ftyr10u43pb41912,No,,,,,,,,[]
1FAHP3FN6AW143378,No,,,,,,,,[]
1FTPX04575KD54853,No,,,,,,,,[]
1FM5K8F83DGA57314,No,,,,,,,,[]
1FTPW14524KB82626,No,,,,,,,,[]
1FTFW1ET0CFB93737,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'ELECTRIC VACUUM PUMP EXTENDED REPAIR', 'campaign': '15N05', 'date': '2016-02-09'}, {'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FTYR14U52PA39740,No,,,,,,,,[]
1FTYR14V8YPA04904,No,,,,,,,,[]
1FMDU34X0SUB76133,No,,,,,,,,[]
1FTFW1ET8BFC25378,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'ELECTRIC VACUUM PUMP EXTENDED REPAIR', 'campaign': '15N05', 'date': '2016-02-09'}, {'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FADP3K24FL363718,No,,,,,,,,"[{'description': 'TRANSMISSION CLUTCH SHUDDER -TRANSMISSION CLUTCH WARRANTY EXTENSION', 'campaign': '19N08', 'date': '2019-08-13'}, {'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FTPW14VX7FA44488,No,,,,,,,,[]
1FADP3K23EL335620,Yes,Recall Incomplete,Door Latch Repeat Repair,20S30/20V331,08/06/20,"Your Vehicle Was Previously Repaired Under Safety Recall 15S16 Or 16S30. During That Repair, Your Vehicles Door Latches Were To Be Replaced To Help Reduce The Risk Of Doors Not Closing Or Doors Opening While Driving. It Is Possible That One Or More Of Your Door Latches Was Not Replaced Or May Not Have Been Replaced Correctly.","If A Door Latch Was Not Replaced, There Is Still A Risk That The Pawl Spring Tab Inside The Door Latch Could Break. This Condition Will Typically Prevent The Door From Latching. In Certain Situations, Where The Door Is Able To Be Closed, The Door May Unlatch While Driving, Increasing The Risk Of Injury","The Door Latch Date Codes In Your Vehicle Need To Be Inspected To Verify That The Previous Door Latch Recall Repair Was Completed As Intended. For Your Convenience And To Encourage The Continued Social Distancing Requirements By Many State And Local Governments Related To Covid-19, Ford Is Providing You With The Option To Complete This Simple Inspection Yourself Using The Attached Self-Inspection Sheet. By Utilizing This Option, You Should Not Need To Take Your Vehicle To Your Dealer Unless Your Vehicle Is Exhibiting Door Latching Concerns Door Will Not Latch Or Opens While Driving. In The Unlikely Event That The System Cannot Confirm The Latches On Your Vehicle Based On Your Input, Or If Your Vehicle Is Exhibiting Door Latching Concerns, You Will Need To Take Your Vehicle To Your Dealership For Additional Inspection And/Or Repairs. If You Do Not Wish To Complete This Inspection Yourself, Your Dealer Will Inspect Your Vehicle For You","[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FTRW02W17KD03665,No,,,,,,,,[]
1FTFW1E53JKC57565,No,,,,,,,,"[{'description': 'POWER DOOR LOCK ACTUATOR FAILURE', 'campaign': '20M04', 'date': '2021-06-30'}, {'description': 'DOOR LATCH FREEZING CONCERNS', 'campaign': '18N03', 'date': '2018-09-26'}]"
1fmzu67e93Uc50085,No,,,,,,,,[]
1fafp40472f126409,No,,,,,,,,[]
1FM5K8GC3MGB68030,Yes,Recall Incomplete,Cameras - Inoperative Rear  360 Degree Camera With A Blue Screen,23S02/23V022,27/01/23,"Previously, Your Vehicle May Have Had A Similar But Different Recall For A Rear Camera Blue Or Blank Screen. Following Completion Of That Recall Repair, It May Still Be Possible To Intermittently Experience A Rear Camera Blue Image On The Sync Screen When The Vehicle Is Placed In Reverse Or When The 360 Degree View Is Selected And Available During Low-Speed Operation. Once Displayed, The Rear Camera Blue Image Will Persist For The Remainder Of The Ignition On Cycle. Once Present, The Issue Is Likely To Reoccur On Subsequent Key Cycles.",The Loss Of The Rear Camera Image During A Reverse Action Increases The Risk Of A Crash.,Ford Motor Company Has Authorized Your Dealer To Reprogram The Software For The Rearview  360 Degree Camera Free Of Charge Parts And Labor.,"[{'description': 'REAR AXLE BOLT REPLACEMENT', 'campaign': '22N06', 'date': '2022-06-10'}]"
1FMCU03198KC93379,No,,,,,,,,[]
1FTPW14V59FB34084,No,,,,,,,,[]
1FAFP40433F329671,No,,,,,,,,[]
1FMZU73K94ZA16003,No,,,,,,,,[]
1FTFX1EFXBFC47325,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
