vin,open_recalls,recall_status,name_of_recall,campaign,date_of_recall_announcement,brief_description_of_recall,safety_risk,remedy,customer_satisfaction_programs,raw_json
3GNGK26G33G219048,Yes,complete,Second Row Center Safety Belt,05V163,2005-04-22,"On Certain Crew Cab Pickup Trucks And Sport Utility Vehicles, The 2Nd Row Center Occupant Seat Belt Routing May Make It Difficult To Position The Lap Portion Of The Safety Belt Low Around The Hips Of Occupants, Especially Smaller Occupants, Seated In This Position.   Appropriate Use Of A Child Seat Or Booster Seat, As Recommended For Small Children, Does Improve The Fit Condition For This User Group.  In Addition To Instructions On Proper Infant And Young Child Restraint (With Child Seats Or Boosters), Special Verbiage For Restraining Older Child Is Included In The Owner'S Manual.  Also, The Suggested Seat Belt Fit/Routing For Adults, Irrespective Of Seating Position, Is Described In The Owner'S Manual Text.","A Lap Portion Of The Seat Belt Routing That Is Not Low And Snug On The Hips Can Allow The Lap Belt To Ride Up On An Occupant'S Abdomen Instead Of Fitting Low Around Their Hipbones, And Therefore, Can Expose Them To More Risk Of Abdominal And Internal Organ Injury.","Dealers Will Cut Open The Guide Loop, Remove A Portion Of The Loop, And Then The Remaining Two Sides Should Be Folded Over And Secured With A Retainer Free Of Charge.",,
2CNDL63F566112946,Yes,incomplete,Special Coverage 11135 - Expired,,,,,,,
2CNDL63F566112946,Yes,incomplete,Ignition Key Removal,,,"Certain 2005-2006 Model Year (My) Chevrolet Equinox, 2006 My Pontiac Torrent And 2002-2007 My Saturn Vue Vehicles May Have A Condition In Which The Ignition Key May Be Removed When The Ignition Is Not In The “Off” Position. If The Ignition Key Is Removed When The Ignition Is Not In The “Off” Position, Unintended Motion May Occur: (A) For An Automatic Transmission, If The Transmission Is Not In “Park”; Or (B) For A Manual Transmission, If The Parking Brake Is Not Engaged And The Transmission Is Not In Reverse Gear. This Could Result In A Vehicle Crash And Occupant Or Pedestrian Injuries.

This Special Coverage Covers The Condition Described Above For The Life Of The Vehicle. This Means Regardless Of When The Vehicle Was Originally Placed In Service Or Its Current Mileage Or Ownership, The Repairs Described In This Bulletin Will Be Paid For By Gm.",,,,
1GNALCEK5FZ137163,Yes,incomplete,Wiper Transmission Arm Linkage Failure,,,"Some 2010-2017 Model Year Equinox Or Terrain Vehicles May Have A Condition Where A Link Ball Socket In The Front Wiper Transmission May Separate. If This Were To Occur, The Driver Would Experience A Sudden Loss Of Front Wiper Function.
	
This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Front Wiper Module With The Latest Version With Improved Sockets And A New Water Shield.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNALCEK5FZ137163,Yes,incomplete,Windshield Wiper Failure,22V165,2022-03-17,"General Motors Has Decided That A Defect, Which Relates To Motor Vehicle Safety, Exists In Certain 2014-2015 Model Year Chevrolet Equinox And Gmc Terrain Vehicles.  The Ball Joints In The Windshield Wiper Modules Of These Vehicles May Experience High Corrosion And Wear That Could Result In The Separation Of One Or More Ball Joints From Their Sockets During Wiper Operation.  If A Ball Joint Were To Separate, One Or Both Of The Windshield Wipers Could Become Inoperative.","If One Or Both Of The Windshield Wipers Become Inoperative, It Could Limit The Driver’S Visibility Under Certain Operating Conditions, Which May Increase The Risk Of A Crash.",Dealers Will Inspect The Wiper Module And Repair Or Replace As Necessary.,,
1GNSKFEC1GR230457,Yes,complete,Brake Pedal Pivot Nut/Bolt Loose,16V069,2016-02-03,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2015 – 2016 Chevrolet Silverado And Gmc Sierra 2500/3500 Heavy Duty Pickup Trucks And Chevrolet Tahoe Ppv Vehicles.  The Brake Pedal Pivot Nut On These Vehicles May Become Loose, Causing The Brake Pedal To Be Loose Or Inoperative.","If The Brake Pedal Becomes Loose Or Inoperative, The Driver May Be Unable To Safely Stop The Vehicle Through Application Of The Brake Pedal, Increasing The Risk Of A Crash.  A Loose Pedal May Also Interfere With The Accelerator Pedal, Increasing The Risk Of A Crash.","Dealers Will Inspect And, If Necessary, Add Adhesive To The Nut And Reinstall The Bolt At An Increased Torque, Free Of Charge.",,
1GNSKFEC1GR230457,Yes,complete,Seat Belt Tensioner,18V291,2018-05-03,"General Motors Has Decided That A Defect, Which Relates To Motor Vehicle Safety, Exists In Certain 2015 – 2016 Chevrolet Silverado And Tahoe Police And Special-Service Vehicles.  In Rare Circumstances Based On Usage, The Flexible Steel Cable That Connects The Driver’S Seat Belt To The Outboard Side Of The Seat (The “Pretensioner Cable”) Can Fatigue And May Separate Over Time As A Result Of Occupant Movement Into The Driver’S Seat. If A Pretensioner Cable Were To Break, It Would Reduce The Effectiveness Of The Vehicle’S Seat Belts And Increase The Risk Of Injury To The Driver In A Crash.","A Fatigued Cable Could Break, Reducing The Effectiveness Of The Vehicle’S Seat Belts And Increasing The Risk Of Injury To The Driver During A Crash.",Dealers Will Replace The Pretensioner Cable And Seat Side-Shield.,,
1GNSKFEC1GR230457,Yes,complete,Hard Pedal At Low Speed Stops - Expires  8/31/21,,,"Certain 2015 - 2018 Model Year Chevrolet Silverado Vehicles Equipped With Special Service Package (Rpo 5W4) And Certain 2015 – 2019 Chevrolet Tahoe Vehicles Equipped With Police Package (Rpo 9C1) Or Special Service Package (Rpo 5W4) May Have A Condition In Which Frequent, Repeated Brake Applications At Low Speed Or Idle Speeds Can Deplete Available Brake Vacuum Assist Faster Than Vacuum Can Be Replenished By The System, Which Can Lead To Increased Brake Pedal Effort, Hard Brake Pedal And Potentially Increased Stopping Distance.",,These Vehicles Utilize Hydraulic Brake Boost Assist To Supply Additional Hydraulic Pressure When The Vacuum Boost Is Not Sufficient To Achieve The Driver’S Intended Brake Force.  Dealers Will Reprogram The Electronic Brake Control Module In These Vehicles With A New Calibration That Will Improve How The System Utilizes The Hydraulic Brake Boost Assist Function When Vacuum Assist Is Depleted.,,
1GNSKFEC1GR230457,Yes,incomplete,Combi-Cooler Air Conditioner Refrigerant Leak,,,"Some 2015-2017 Model Year Cadillac Escalade, Escalade Esv, Chevrolet Suburban, Tahoe, Gmc Yukon And Yukon Xl Vehicles, May Have A Condition Where Thermal Cycling On The Combination Transmission Fluid/Oil And Ac Condenser Cooler Creates A Crack That May Allow Refrigerant To Escape. This Condition Consequently May Deactivate The Ac System Which May Cause Potential Customer Annoyance.

This Special Coverage Covers The Condition Described Above For A Period Of 5 Years Or 60,000 Miles (100,000 Km) For Chevrolet Suburban, Tahoe, Gmc Yukon And Yukon Xl And 6 Years Or 72,000 Miles (116,000 Km) For Cadillac Escalade And Escalade Esv, Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Inspect The Air Conditioning Condenser And Replace If Necessary.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSKFEC1GR230457,Yes,complete,Increased Brake Pedal Effort,19V645,2019-09-06,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014-2018 Model Year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, Gmc Sierra, And Gmc Yukon Vehicles. In Some Circumstances, These Vehicle May Have A Condition In Which The Engine-Mounted Mechanical Vacuum Pump Output May Decrease Over Time, Decreasing The Amount Of Vacuum/Power Brake Assist.",.,Dealers Will Reprogram The Electronic Brake Control Module With A New Calibration That Will Improve How The System Utilizes The Hydraulic Brake Boost Assist Function When Vacuum Assist Is Depleted.,,
1GNSKFEC1GR230457,Yes,complete,Unexpected Pull To One Side,19V761,2019-10-24,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014 – 2018 Model Year Chevrolet Silverado And Gmc Sierra 1500 Vehicles Equipped With Four-Wheel Drive, A 5.3-Liter Engine, And A 3.08-Ratio Rear Axle, And Certain 2015 – 2020 Model Year Chevrolet Suburban, Chevrolet Tahoe, And Gmc Yukon Equipped With Four-Wheel Drive, A 5.3-Liter Engine, And A 3.08-Ratio Rear Axle.  If A Wheel-Speed Sensor Fails In These Vehicles, A Software Error In The Vehicle’S Electronic-Brake Control Module (Ebcm) Can Cause The Vehicle’S Driveline-Protection System To Activate When (I) The Vehicle’S Electronic Transfer Case Is Set To Four-Wheel Drive Or Automatic Mode, And (Ii)  The Vehicle Is Driven Between The Speeds Of 41 And 60 Mph.  If The Driveline-Protection System Activates, The Driver Will Experience Unintended Braking On The Wheel On The Opposite Side Of The Failed Sensor.","If A Wheel-Speed Sensor Fails, The Vehicle’S Electronic Stability Control (Esc) And Anti-Lock Braking System (Abs) Malfunction Indicator Warning Lamps Will Illuminate And The Vehicle’S Driver Information Center Will Display A “Service Stabilitrak” Message.  If These Vehicles Are Driven In This Condition While In Four-Wheel Drive Or Automatic Mode At 41-60 Mph, Unintended Braking On One Wheel Can Occur, Causing The Vehicle To Pull To One Side, Increasing The Risk Of A Crash.  Owners Can Eliminate This Risk By Operating The Vehicle In Two-Wheel-Drive Mode Until The Recall Repair Is Performed.",Dealers Will Reprogram The Electronic Brake Control Module (Ebcm).,,
1GNSKFEC1GR230457,Yes,incomplete,Brake Assist Decreased Due To Vacuum Loss,,,"Some 2014 – 2018 Model Year Gm Vehicles May Have A Condition Where Customers May Experience Increased Brake Pedal Effort, Hard Brake Pedal, And/Or Potentially Increased Stopping Distance. The Condition Is More Prevalent At Low Speed When Softly Applying The Brakes. The Engine Mounted Mechanical Vacuum Pump Output May Decrease Over Time Decreasing The Amount Of Vacuum/Power Brake Assist. Failure To Follow Recommended Oil Change Intervals Could Contribute To This Condition. The Driver’S Information Center, (Dic) “Service Brake Assist” Alert Will Activate 2-5 Minutes After The Vacuum Level Drops, And A Diagnostic Trouble Code, (Dtc) Will Also Be Set. Even Where This Condition Occurs, The Hydraulic Brake System Remains Functional But May Require Additional Pedal Force.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Vacuum Pump And Vacuum Pump Belt.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSKFEC1GR230457,Yes,complete,Frontal Airbag And Pretensioner Non Deploy,16V651,2016-09-08,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014-2017 Model Year Chevrolet Silverado Ld, Gmc Sierra Ld, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, And Chevrolet Corvette Vehicles, 2014-2016 Model Year Buick Lacrosse, Chevrolet Spark Ev, And Chevrolet Ss Vehicles And 2015-2017 Model Year Chevrolet Silverado Hd, Gmc Sierra Hd, Gmc Yukon, Gmc Yukon Xl, Cadillac Escalade Cadillac Escalade Esv, Chevrolet Suburban, And Chevrolet Tahoe Vehicles.  The Sensing And Diagnostic Module (Sdm) In These Vehicles, Which Controls Airbag And Pretensioner Deployment, Contains A Software Defect Which May Prevent The Deployment Of Frontal Airbags And Pretensioners In Certain Rare Circumstances. If The Frontal Airbags And Seatbelt Pretensioners Do Not Deploy When Required, There Is An Increased Risk Of Injury To Occupants In A Crash.","If The Frontal Airbags And Seatbelt Pretensioners Do Not Deploy When Required, There Is An Increased Risk Of Injury To Occupants In A Crash.","Reprogram The Sdm With New Software That Eliminates This Defect.  In Vehicles With Any Previous Deployment Events Recorded In The Sdm, Dealers Will Replace The Existing Sdm With A New Sdm Prior To Programming And Setup.  Note: Before Replacing The Sdm, Any Airbag Related Diagnostic Trouble Codes Should Be Identified, Diagnosed, And Corrected Prior To Sdm Replacement.  Faulty Sir Components In Need Of Replacement Are Unrelated To This Safety Recall And Are Not Covered Under The Terms Of This Safety Recall.",,
1G1ND52J416206443,Yes,complete,Unintended Ignition Key Rotation,14V400,2014-07-03,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In 2000-2005 My Chevrolet Impala And Monte Carlo, 1997-2003 My Chevrolet Malibu, 2004-2005 My Chevrolet Malibu Classic, 1999-2004 My Oldsmobile Alero, 1998-2002 My Oldsmobile Intrigue, 1999-2005 My Pontiac Grand Am, And 2004-2008 My Pontiac Grand Prix Vehicles. If The Key Ring Is Carrying Added Weight And The Vehicle Goes Off Road Or Experiences Some Other Jarring Event, It May Unintentionally Move The Key Away From The Run Position. If This Occurs, Engine Power, Power Steering And Power Braking May Be Affected, Increasing The Risk Of A Crash.","The Timing Of The Key Movement Out Of The ""Run"" Position, Relative To The Activation Of The Sensing Algorithm Of The Crash Event, May Result In The Airbags Not Deploying, Increasing The Potential For Occupant Injury In Certain Kinds Of Crashes. Until The Recall Has Been Performed, It Is Very Important That Customers Remove All Items From Their Key Ring, Leaving Only The Vehicle Key. The Key Fob (If Applicable), Should Also Be Removed From The Key Ring.","Dealers Are To Install Two Key Rings And An Insert In The Key Slot Or A Cover Over The Key Head On All Ignition Keys, Free Of Charge.",,
1G1ND52J416206443,Yes,complete,Turn Signals/Hazard Warning Flashers Inoperative,03V327,2003-08-27,"Certain Passenger Vehicles Have Hazard Warning Switches That May Experience Solder Joint Cracking Caused By Rapid Temperature Transitions And The Soldering Process.  If Solder Joint Cracking Occurs And Results In An Open Circuit, The Turn Signals/Hazard Lamps Become Intermittent Or Inoperative.","When The Turn Signals Are Inoperative, The Driver Cannot Use Them To Signal Intent To Turn That Could Result In A Crash.",Dealers Will Replace The Hazard Warning Switch Free Of Charge.,,
1G1YY22G015106740,No,,,,,,,,,
1gnfc33j89r163938,Invalid Vin,,,,,,,,,
1g1za5eu9cf388322,Invalid Vin,,,,,,,,,
1GNEK13TX6J104596,Yes,incomplete,Special Coverage 10240 - Expired,,,,,,,
1GNEC13Z64J114797,Yes,complete,Second Row Center Safety Belt,05V163,2005-04-22,"On Certain Crew Cab Pickup Trucks And Sport Utility Vehicles, The 2Nd Row Center Occupant Seat Belt Routing May Make It Difficult To Position The Lap Portion Of The Safety Belt Low Around The Hips Of Occupants, Especially Smaller Occupants, Seated In This Position.   Appropriate Use Of A Child Seat Or Booster Seat, As Recommended For Small Children, Does Improve The Fit Condition For This User Group.  In Addition To Instructions On Proper Infant And Young Child Restraint (With Child Seats Or Boosters), Special Verbiage For Restraining Older Child Is Included In The Owner'S Manual.  Also, The Suggested Seat Belt Fit/Routing For Adults, Irrespective Of Seating Position, Is Described In The Owner'S Manual Text.","A Lap Portion Of The Seat Belt Routing That Is Not Low And Snug On The Hips Can Allow The Lap Belt To Ride Up On An Occupant'S Abdomen Instead Of Fitting Low Around Their Hipbones, And Therefore, Can Expose Them To More Risk Of Abdominal And Internal Organ Injury.","Dealers Will Cut Open The Guide Loop, Remove A Portion Of The Loop, And Then The Remaining Two Sides Should Be Folded Over And Secured With A Retainer Free Of Charge.",,
1gnskskd1mr275027,Invalid Vin,,,,,,,,,
2GNAXNEV0K6121002,No,,,,,,,,,
2GNAXKEV5M6101913,No,,,,,,,,,
1GNSK4E01BR375355,Yes,complete,Ignition Lock Cylinder Binding,14V827,2014-12-23,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2011 – 2012 Model Year Full-Size Trucks And Suvs.  Certain Of These Vehicles May Have An Ignition Lock Actuator With An Outer Diameter That Exceeds Specifications.  These Ignition Lock Actuators May Make Turning The Ignition Key Difficult And The Ignition Key Could Get Stuck In The “Start” Position If The Vehicle’S Interior Ambient Temperature Is Sufficiently High.  If The Vehicle Is Driven With The Key Stuck In The “Start” Position, And The Vehicle’S Interior Temperature Cools Or The Vehicle Experiences A Significant Jarring Event, The Ignition Lock Cylinder Could Move Out Of The “Start” Position, Rotate Past The “Run” Position, And Move Into The “Accessory” Position.","If The Key Moves Into The “Accessory” Position, Engine Power, Power Steering, And Power Braking Will Be Affected, Increasing The Risk Of A Crash.  In The Event Of A Crash, The Timing Of The Key Movement Into The “Accessory” Position Relative To The Activation Of The Sensing Algorithm Of The Crash Event May Result In The Airbags Not Deploying, Increasing The Potential For Occupant Injury In Certain Types Of Crashes.","Dealers Will Inspect Steering Columns For Identifying Information (Date Code And/Or Production Cavity Number) And Replace If Necessary, The Ignition Lock Housing, Free Of Charge.",,
1GNSK4E01BR375355,Yes,complete,Engine Cooling Fan,16V868,2016-11-28,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2010 – 2014 Chevrolet Tahoe Vehicles With Special Equipment Options For Police Or Government Service.  Under Heavy Police Use Conditions, The Passenger-Side Under-Hood Cooling Fan Assembly In These Vehicles May Be Susceptible To Repeated Fluid Intrusion, Which Could Lead To Corrosion Of Wiring Inside The Fan Motor Over Time.  Such Corrosion Can, Under Certain Conditions, Cause An Electrical Short Circuit.","A Short Circuit Caused By Corrosion Can Create Elevated Temperatures Within The Fan Motor, Which Can Increase The Risk Of An Engine-Compartment Fire While The Vehicle Is Running.","Dealers Will Replace The Affected Fan Motor And Shroud, Extend Wiring And Re-Orient The Fan Motor To Reduce The Risk Of Corrosion.",,
1GNSK4E01BR375355,Yes,complete,Front Passenger Airbag Takata Inflator - Priority Group 10,21V054,2021-02-05,"Tk Holdings Inc. (“Takata”) Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Passenger-Side Frontal Airbag Inflators Installed As Original Equipment In Certain 2007 To 2014 Model Year Cadillac Escalade, Escalade Esv, And Escalade Ext Vehicles; Certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, And Tahoe Vehicles; And Certain Gmc Sierra 1500, Sierra 2500/3500, Yukon, And Yukon Xl Vehicles.  The Determination Was Made That The Propellant In These Inflators May Degrade After Long-Term Exposure To High Humidity And Temperature Cycling, Which Could Cause The Inflator To Rupture During A Deployment.","An Inﬂator Rupture May Cause Metal Fragments To Pass Through The Airbag And Into The Vehicle Interior At High Speed, Which May Result In Injury Or Death To Vehicle Occupants.",Dealers Will Replace The Passenger-Side Frontal Airbag Inflator.,,
2GNAXKEV3K6129108,No,,,,,,,,,
1gnalbek7dz110151,Invalid Vin,,,,,,,,,
1g11a5sl5ff126827,Invalid Vin,,,,,,,,,
1G11B5SA9DF292020,Yes,complete,Rear Suspension Toe Link May Break,20V764,2020-12-10,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Certain 2010 – 2013 Buick Lacrosse, 2012 – 2013 Buick Regal, And 2013 Chevrolet Malibu Vehicles That Were Ever Registered In Connecticut, Delaware, The District Of Columbia, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, West Virginia, Or Wisconsin (Collectively, “Corrosion States”).  These Vehicles May Have Rear Toe Links That Received Excessive Electrocoating (E-Coat) Corrosion Protection, Which Could Cause The E-Coat To Become Brittle And Break Away When Contacted By Road Debris.  Over Time, The E-Coat May Chip Away, Exposing The Metal Toe Link And Making It More Susceptible To Corrosion.  Corrosion May Eventually Cause The Toe Link To Thin And Ultimately To Fracture.","A Rear Toe Link Fracture May Reduce The Ability To Control The Vehicle, Increasing The Risk Of A Crash.",Dealers Will Replace Rear Suspension Toe Links And Adjuster Fasteners.,,
1G11B5SA9DF292020,Yes,incomplete,Camshaft Position Actuator Valve Replacement,,,"Some 2013 Model Year Cadillac Ats And Chevrolet Malibu Vehicles Equipped With 2.0L Or 2.5L Engine, May Have A Condition Where A Wire Within The Intake Or Exhaust Camshaft Position Actuator Solenoid May Break. If This Were To Occur, The Malfunction Indicator Light Would Illuminate In The Instrument Panel. In Addition, An Internal Diagnostic Trouble Code (Dtc) P0010 (Intake Camshaft Position Actuator Solenoid Valve Control Circuit) Or Dtc P0013 (Exhaust Camshaft Position Actuator Solenoid Valve Control Circuit) May Set In The Vehicle’S Computer.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 120,000 Miles (193,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Replace The Intake Or Exhaust Camshaft Position Actuator Solenoid Valve As Necessary.  The Repairs Will Be Made At No Charge To The Customer.,,
1G11B5SA9DF292020,Yes,incomplete,Power Steering Stick-Slip,,,"Some 2012-2014 Model Year Buick Verano, 2011-2014 Model Year Chevrolet Cruze And Volt, 2010-2014 Model Year Chevrolet Equinox And Gmc Terrain, And 2013-2014 Model Year Chevrolet Malibu Vehicles May Have Increased Friction In The Steering System. This Could Cause The Steering Wheel To Stick In The Straight-Ahead Position After Driving Long Distances On A Straight Highway. The Steering Wheel Can Be Turned But It May Require Increased Effort.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,,,
